Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,13247.089844,13302.429688,13193.080078,13291.639648,13291.639648,4216360000
2023-05-09,13228.639648,13254.809570,13193.879883,13201.110352,13201.110352,4126780000
2023-05-10,13308.410156,13384.419922,13204.790039,13347.830078,13347.830078,4948260000
2023-05-11,13376.849609,13411.700195,13306.080078,13389.780273,13389.780273,4489490000
2023-05-12,13407.019531,13427.419922,13256.559570,13340.179688,13340.179688,4170000000
