Date,DIA,EEM,GLD,IWM,IYR,QQQ,SPY,TLT,USO
2012-01-03,96.26594543457031,30.727962493896484,155.9199981689453,63.887535095214844,38.757633209228516,51.205013275146484,102.82037353515625,90.81670379638672,317.5199890136719
2012-01-04,96.53067779541016,30.555063247680664,156.7100067138672,63.53813934326172,38.32366943359375,51.420989990234375,102.98164367675781,89.73692321777344,318.1600036621094
2012-01-05,96.51508331298828,30.421463012695312,157.77999877929688,63.89604949951172,38.601680755615234,51.84394836425781,103.2558364868164,89.57721710205078,313.3599853515625
2012-01-06,96.18807220458984,30.036386489868164,157.1999969482422,63.73414993286133,38.533870697021484,52.0239372253418,102.98971557617188,90.28443908691406,313.760009765625
2012-01-09,96.28931427001953,30.350744247436523,156.5,64.05797576904297,38.42537307739258,51.85294723510742,103.2397232055664,90.12474822998047,312.6400146484375
2012-01-10,96.84992980957031,31.010879516601562,158.63999938964844,64.99536895751953,38.85255813598633,52.230899810791016,104.1348876953125,89.9726333618164,314.7200012207031
2012-01-11,96.77983093261719,31.034456253051758,159.6699981689453,65.25102233886719,39.1983642578125,52.33889389038086,104.1913070678711,91.14366912841797,311.3599853515625
2012-01-12,96.96676635742188,31.16019630432129,160.3800048828125,65.44701385498047,38.940704345703125,52.545875549316406,104.44129943847656,91.01443481445312,304.4800109863281
2012-01-13,96.67863464355469,30.877277374267578,159.25999450683594,65.09761810302734,39.11699295043945,52.35688781738281,103.90098571777344,91.91931915283203,305.2799987792969
2012-01-17,97.03679656982422,31.466691970825195,160.5,65.07205963134766,39.3204231262207,52.8338508605957,104.3042221069336,92.34517669677734,310.32000732421875
2012-01-18,97.81546783447266,32.260433197021484,161.60000610351562,66.23101806640625,39.5712890625,53.535797119140625,105.45742797851562,91.22732543945312,310.6400146484375
2012-01-19,98.2437744140625,32.54335021972656,161.22000122070312,66.64007568359375,39.82217788696289,53.86874008178711,106.01383972167969,89.9726333618164,309.5199890136719
2012-01-20,98.98991394042969,32.51976776123047,162.07000732421875,66.68266296386719,40.012027740478516,53.78776550292969,106.40901947021484,88.9537353515625,302.239990234375
2012-01-23,98.87294006347656,32.83412551879883,163.16000366210938,66.59745025634766,40.13407516479492,53.80575180053711,106.13481903076172,88.39090728759766,307.1199951171875
2012-01-24,98.57666778564453,32.88127517700195,162.00999450683594,66.98094177246094,40.35783386230469,53.70676040649414,106.01383972167969,88.5506820678711,304.79998779296875
2012-01-25,99.21600341796875,33.25065231323242,166.4199981689453,67.55187225341797,40.8731575012207,54.38169860839844,106.90093231201172,88.33773803710938,306.79998779296875
2012-01-26,99.06790161132812,33.117042541503906,167.27000427246094,67.4751968383789,41.1104736328125,54.19270324707031,106.3525619506836,89.5087661743164,306.9599914550781
2012-01-27,98.59224700927734,33.28993225097656,168.97000122070312,67.93535614013672,41.212188720703125,54.35468292236328,106.30419158935547,89.7901840209961,306.3999938964844
2012-01-30,98.42069244384766,32.810550689697266,168.02999877929688,67.40703582763672,40.85282516479492,54.39969253540039,105.94127655029297,90.84712219238281,304.0799865722656
2012-01-31,98.29597473144531,33.09346389770508,169.30999755859375,67.3388442993164,41.06301498413086,54.471683502197266,105.90098571777344,91.89651489257812,302.55999755859375
2012-02-01,98.950927734375,33.824337005615234,169.55999755859375,68.78756713867188,41.36813735961914,54.91264343261719,106.82833862304688,90.8438491821289,299.0400085449219
2012-02-02,98.89635467529297,33.91864776611328,171.0500030517578,69.17955780029297,41.4562873840332,55.083614349365234,106.9976806640625,90.80573272705078,297.0400085449219
2012-02-03,100.08924865722656,34.484474182128906,167.63999938964844,70.68790435791016,42.05295944213867,55.839561462402344,108.49765014648438,88.85441589355469,300.7200012207031
2012-02-06,99.89433288574219,34.193695068359375,167.17999267578125,70.45780181884766,41.849552154541016,55.794559478759766,108.42509460449219,89.73860168457031,298.6400146484375
2012-02-07,100.19842529296875,34.26443862915039,169.6999969482422,70.41519165039062,41.815650939941406,55.91154479980469,108.69929504394531,88.62571716308594,303.6000061035156
2012-02-08,100.35440826416016,34.50804901123047,168.5,70.5685806274414,41.8427848815918,56.20851135253906,109.02186584472656,88.6943359375,304.32000732421875
2012-02-09,100.39337158203125,34.492332458496094,168.02000427246094,70.21916198730469,41.537654876708984,56.61347579956055,109.158935546875,88.03118133544922,306.6400146484375
2012-02-10,99.683837890625,33.73003005981445,167.13999938964844,69.25623321533203,41.19184494018555,56.21752166748047,108.35252380371094,89.17449951171875,304.1600036621094
