Date,A1,A2,A3
2005-01-03,11.008625030517578,18.491802215576172,27.13324546813965
2005-01-04,10.535954475402832,18.506729125976562,26.949073791503906
2005-01-05,10.444469451904297,18.527639389038086,26.8082332611084
2005-01-06,10.352986335754395,18.593353271484375,27.149503707885742
2005-01-07,10.495293617248535,18.56945037841797,26.970727920532227
2005-01-10,10.439382553100586,18.55750846862793,27.073657989501953
2005-01-11,10.352986335754395,18.52165985107422,27.003244400024414
2005-01-12,10.469883918762207,18.273761749267578,27.404098510742188
2005-01-13,10.5918607711792,18.112462997436523,27.382427215576172
2005-01-14,10.734170913696289,18.127395629882812,27.66410255432129
2005-01-18,10.50545597076416,18.357383728027344,27.897024154663086
2005-01-19,10.383481979370117,18.219989776611328,27.653268814086914
2005-01-20,10.063283920288086,18.08258819580078,27.474510192871094
2005-01-21,10.464799880981445,17.9571475982666,27.322832107543945
2005-01-24,10.642685890197754,17.9063720703125,27.696605682373047
2005-01-25,10.637602806091309,18.019865036010742,27.80494499206543
2005-01-26,10.825658798217773,18.181154251098633,28.005361557006836
2005-01-27,10.617274284362793,18.049734115600586,28.032451629638672
2005-01-28,10.678266525268555,18.07662582397461,27.772441864013672
2005-01-31,10.947638511657715,18.309598922729492,27.951190948486328
2005-02-01,10.962882041931152,18.458940505981445,28.85582160949707
2005-02-02,11.125523567199707,18.296384811401367,29.21333885192871
2005-02-03,11.237335205078125,18.377660751342773,29.532930374145508
2005-02-04,11.435552597045898,18.356595993041992,29.950035095214844
2005-02-07,11.679510116577148,18.489042282104492,30.009618759155273
2005-02-08,11.694756507873535,18.495059967041016,30.363447189331055
2005-02-09,11.740500450134277,18.335521697998047,30.23279571533203
2005-02-10,11.674424171447754,18.19101905822754,30.66826820373535
2005-02-11,11.821816444396973,18.151899337768555,30.543079376220703
2005-02-14,11.974292755126953,18.4559326171875,30.934993743896484
2005-02-15,11.984456062316895,18.452922821044922,30.983999252319336
2005-02-16,11.989542961120605,18.290361404418945,31.833160400390625
2005-02-17,12.192838668823242,18.181997299194336,31.642642974853516
2005-02-18,12.136932373046875,18.004390716552734,32.339412689208984
2005-02-22,12.121685981750488,17.709386825561523,31.70796775817871
2005-02-23,12.406302452087402,17.90805435180664,32.3448486328125
2005-02-24,12.807819366455078,17.9682674407959,33.27567672729492
2005-02-25,12.89930248260498,18.031490325927734,34.43511962890625
2005-02-28,12.736662864685059,17.87494468688965,34.462345123291016
2005-03-01,12.401219367980957,18.016433715820312,33.80369186401367
2005-03-02,12.57402229309082,17.911067962646484,34.11940383911133
2005-03-03,12.64517879486084,17.883981704711914,34.320823669433594
2005-03-04,12.980624198913574,18.212093353271484,34.60387420654297
2005-03-07,12.939960479736328,18.281333923339844,34.29358673095703
2005-03-08,12.741750717163086,18.299400329589844,34.3480339050293
2005-03-09,12.396136283874512,17.983312606811523,33.09059143066406
2005-03-10,12.21316909790039,18.124797821044922,32.86197280883789
2005-03-11,12.121685981750488,18.001380920410156,33.23213195800781
2005-03-14,11.852313995361328,18.091686248779297,33.35734558105469
2005-03-15,11.608353614807129,18.055561065673828,32.85108947753906
2005-03-16,11.740500450134277,17.920106887817383,32.81843948364258
2005-03-17,12.08610725402832,17.941173553466797,33.47163391113281
2005-03-18,11.918386459350586,17.87494468688965,34.10308837890625
2005-03-21,11.750664710998535,17.817750930786133,33.83091354370117
2005-03-22,11.410138130187988,17.57392120361328,33.150474548339844
2005-03-23,11.120438575744629,17.682292938232422,32.709556579589844
2005-03-24,11.374561309814453,17.57693099975586,32.11623764038086
2005-03-28,11.222084999084473,17.72142219543457,32.05634689331055
2005-03-29,11.079778671264648,17.739486694335938,31.71885871887207
2005-03-30,11.455876350402832,17.971271514892578,32.24686050415039
2005-03-31,11.577858924865723,18.001380920410156,32.442840576171875
2005-04-01,11.7913236618042,17.889995574951172,32.9599494934082
2005-04-04,11.608353614807129,18.0134220123291,33.0143928527832
2005-04-05,11.491460800170898,17.96526336669922,32.693233489990234
2005-04-06,11.552448272705078,17.983312606811523,33.150474548339844
2005-04-07,11.750664710998535,18.025455474853516,33.123260498046875
2005-04-08,11.643936157226562,17.929128646850586,32.66600799560547
2005-04-11,11.699840545654297,18.06159019470215,32.81843948364258
2005-04-12,11.7913236618042,18.251239776611328,32.8946418762207
2005-04-13,11.674424171447754,18.127809524536133,32.197879791259766
