Date,GLD,QQQ,TLT
2005-01-03,43.02000045776367,34.2498779296875,50.05828857421875
2005-01-04,42.7400016784668,33.62559509277344,49.533695220947266
2005-01-05,42.66999816894531,33.41747283935547,49.79880905151367
2005-01-06,42.150001525878906,33.252723693847656,49.832664489746094
2005-01-07,41.84000015258789,33.4261474609375,49.94549560546875
2005-01-10,41.95000076293945,33.40879821777344,50.02443313598633
2005-01-11,42.209999084472656,33.174686431884766,50.31776809692383
2005-01-12,42.599998474121094,33.4521484375,50.385475158691406
2005-01-13,42.599998474121094,33.00993347167969,50.870609283447266
2005-01-14,42.31999969482422,33.32210159301758,50.86498260498047
2005-01-18,42.31999969482422,33.57355880737305,51.03418731689453
2005-01-19,42.2599983215332,33.01863098144531,51.18085861206055
2005-01-20,42.25,32.38564682006836,51.28239822387695
2005-01-21,42.7400016784668,32.12551498413086,51.338844299316406
2005-01-24,42.77000045776367,31.674636840820312,51.558815002441406
2005-01-25,42.2400016784668,31.830713272094727,51.073707580566406
2005-01-26,42.689998626708984,32.21222686767578,51.169578552246094
2005-01-27,42.619998931884766,32.16886901855469,51.073707580566406
2005-01-28,42.689998626708984,32.012813568115234,51.58699035644531
2005-01-31,42.220001220703125,32.42899703979492,51.733665466308594
2005-02-01,42.099998474121094,32.533058166503906,51.6515998840332
2005-02-02,42.15999984741211,32.585079193115234,51.77046585083008
2005-02-03,41.68000030517578,32.21222686767578,51.742218017578125
2005-02-04,41.470001220703125,32.73248291015625,52.46131134033203
2005-02-07,41.27000045776367,32.663124084472656,52.85198974609375
2005-02-08,41.2599983215332,32.72381591796875,53.15208435058594
2005-02-09,41.310001373291016,32.17753982543945,53.29362869262695
2005-02-10,41.75,32.21222686767578,52.574520111083984
2005-02-11,42.08000183105469,32.689117431640625,52.540565490722656
2005-02-14,42.54999923706055,32.83653259277344,52.70479202270508
2005-02-15,42.58000183105469,33.05331802368164,52.438629150390625
2005-02-16,42.52000045776367,32.931907653808594,52.240516662597656
2005-02-17,42.72999954223633,32.48970031738281,51.91204071044922
2005-02-18,42.75,32.38564682006836,51.447723388671875
2005-02-22,43.56999969482422,31.986774444580078,51.22126770019531
2005-02-23,43.41999816894531,32.030128479003906,51.39109420776367
2005-02-24,43.33000183105469,32.437679290771484,51.27787780761719
2005-02-25,43.5,32.619747161865234,51.52699661254883
2005-02-28,43.529998779296875,32.272945404052734,50.972103118896484
2005-03-01,43.220001220703125,32.62844467163086,50.956180572509766
2005-03-02,43.25,32.61107635498047,50.887996673583984
2005-03-03,42.970001220703125,32.3422966003418,50.859619140625
2005-03-04,43.380001068115234,32.533058166503906,51.41061019897461
2005-03-07,43.470001220703125,33.00128173828125,51.61507034301758
2005-03-08,44.029998779296875,32.6717643737793,51.126609802246094
2005-03-09,44.02000045776367,32.57640075683594,50.29159927368164
2005-03-10,44.20000076293945,32.533058166503906,50.59833908081055
2005-03-11,44.43000030517578,32.22957992553711,50.229122161865234
2005-03-14,44.029998779296875,32.3769645690918,50.530189514160156
2005-03-15,44.060001373291016,32.11684799194336,50.212074279785156
2005-03-16,44.310001373291016,31.752674102783203,50.518829345703125
2005-03-17,43.81999969482422,31.830713272094727,50.68358612060547
2005-03-18,43.88999938964844,31.657312393188477,50.36547088623047
2005-03-21,43.09000015258789,31.717992782592773,50.22348403930664
2005-03-22,42.650001525878906,31.32778549194336,49.79743194580078
2005-03-23,42.41999816894531,31.440534591674805,50.0360107421875
2005-03-24,42.38999938964844,31.44919776916504,50.13826370239258
2005-03-28,42.540000915527344,31.509904861450195,49.83156967163086
2005-03-29,42.560001373291016,31.258434295654297,50.12691879272461
2005-03-30,42.61000061035156,31.84805679321289,50.37678909301758
2005-03-31,42.81999969482422,31.70931625366211,50.7403450012207
2005-04-01,42.619998931884766,31.38848876953125,50.9113655090332
2005-04-04,42.400001525878906,31.613943099975586,50.89997863769531
2005-04-05,42.45000076293945,31.700653076171875,50.76885223388672
2005-04-06,42.630001068115234,31.648616790771484,50.945556640625
2005-04-07,42.56999969482422,32.030128479003906,50.53510284423828
2005-04-08,42.689998626708984,31.77000617980957,50.71186828613281
2005-04-11,42.779998779296875,31.631296157836914,50.985511779785156
2005-04-12,42.84000015258789,31.787376403808594,51.45868682861328
2005-04-13,42.900001525878906,31.267105102539062,51.333248138427734
2005-04-14,42.310001373291016,30.824892044067383,51.253482818603516
2005-04-15,42.400001525878906,30.12255859375,51.9318733215332
2005-04-18,42.689998626708984,30.1312255859375,51.892005920410156
2005-04-19,43.279998779296875,30.339330673217773,52.3936767578125
2005-04-20,43.400001525878906,30.087881088256836,52.2625846862793
2005-04-21,43.189998626708984,30.88557243347168,51.71522521972656
2005-04-22,43.38999938964844,30.426036834716797,52.14856719970703
2005-04-25,43.439998626708984,30.677494049072266,52.30246353149414
2005-04-26,43.63999938964844,30.39136505126953,52.222625732421875
2005-04-27,43.20000076293945,30.434709548950195,52.405059814453125
2005-04-28,43.0,30.1312255859375,52.79275894165039
2005-04-29,43.349998474121094,30.330646514892578,52.7015495300293
2005-05-02,42.880001068115234,30.452045440673828,52.69013214111328
2005-05-03,42.7599983215332,30.608118057250977,52.833133697509766
2005-05-04,42.900001525878906,30.9809627532959,52.36971664428711
2005-05-05,42.90999984741211,31.00698471069336,52.4898681640625
2005-05-06,42.52000045776367,31.093692779541016,52.10078048706055
2005-05-09,42.54999923706055,31.241098403930664,52.15228271484375
2005-05-10,42.63999938964844,31.015657424926758,52.524200439453125
2005-05-11,42.689998626708984,31.171720504760742,52.68439865112305
